player_id,ch_ba
594835,0.263
657277,0.204
645261,0.145
641154,0.22
542881,0.179
605488,0.229
527048,0.233
605200,0.187
663460,0.258
518876,0.243
666120,0.209
608337,0.248
640455,0.301
663776,0.215
471911,0.206
548389,0.203
663556,0.145
608379,0.17
608344,0.242
622503,0.212
656756,0.258
641540,0.262
660761,0.243
622491,0.239
668676,0.266
669432,0.246
642207,0.185
621244,0.271
456501,0.252
605164,0.291
664353,0.24
628711,0.206
624133,0.24
543294,0.232
500779,0.286
501985,0.282
656222,0.212
663738,0.246
592789,0.316
607259,0.155
668678,0.202
676879,0.295
670950,0.176
605400,0.319
622072,0.277
657140,0.151
615698,0.189
665795,0.172
593974,0.198
608331,0.173
669145,0.305
434671,0.2
425844,0.309
656970,0.242
607536,0.385
605194,0.198
547179,0.154
643410,0.09
669169,0.253
689225,0.173
596295,0.266
570257,0.182
623167,0.165
666200,0.19
656793,0.286
641302,0.337
640444,0.229
572971,0.299
669212,0.184
622663,0.235
453286,0.224
641401,0.227
592094,0.148
642232,0.299
605540,0.207
607216,0.183
663558,0.101
502202,0.25
606424,0.259
665665,0.347
661309,0.233
573009,0.235
669060,0.301
614179,0.229
592791,0.276
502043,0.263
676760,0.141
669330,0.197
598287,0.246
571927,0.2
593334,0.192
628452,0.169
676477,0.113
669203,0.222
672282,0.268
595881,0.188
665152,0.273
669373,0.2
666201,0.145
656849,0.194
592761,0.156
518516,0.145
593958,0.304
579328,0.116
657746,0.277
596001,0.364
596057,0.152
669211,0.25
664285,0.239
543475,0.302
572070,0.2
678394,0.158
502042,0.183
608718,0.097
666721,0.186
570666,0.344
570632,0.316
543037,0.194
446372,0.226
642758,0.143
606160,0.133
622253,0.182
669674,0.186
677651,0.203
621076,0.339
663455,0.193
676664,0.204
642121,0.294
592716,0.18
571948,0.236
666142,0.151
621249,0.208
621112,0.308
656546,0.239
608665,0.245
592351,0.178
667463,0.196
605507,0.36
605397,0.212
489119,0.255
669920,0.289
663158,0.089
571578,0.38
656605,0.326
607455,0.4
596133,0.306
450203,0.262
670124,0.295
622065,0.209
