player_id,cu_ba
450203,0.171
425794,0.251
657140,0.211
664285,0.146
605400,0.219
448179,0.235
628711,0.2
446372,0.255
601713,0.299
592767,0.225
608566,0.141
621244,0.209
500779,0.202
607536,0.203
663474,0.12
669456,0.191
607200,0.321
663556,0.139
668678,0.174
680686,0.185
425844,0.222
605397,0.205
656756,0.154
608344,0.274
666157,0.136
502179,0.242
571945,0.227
656638,0.19
519043,0.217
518516,0.212
608331,0.174
608723,0.243
669203,0.127
666200,0.157
650644,0.124
663460,0.294
642232,0.211
592791,0.168
593334,0.219
605130,0.138
605507,0.211
434378,0.158
664208,0.165
656605,0.275
543243,0.193
656302,0.253
624522,0.216
664141,0.216
456713,0.163
623474,0.12
596295,0.209
518886,0.167
661395,0.12
523260,0.263
518876,0.232
543475,0.205
664353,0.291
605483,0.179
608717,0.173
657248,0.303
598264,0.266
605135,0.156
669302,0.253
641778,0.324
543135,0.197
502085,0.093
621112,0.16
608648,0.296
477132,0.184
641771,0.219
672578,0.212
592717,0.3
594835,0.275
607625,0.159
571948,0.203
543037,0.261
453343,0.273
669169,0.234
656685,0.277
573009,0.227
667297,0.212
614179,0.143
672851,0.328
669467,0.302
641501,0.175
666120,0.286
573204,0.234
669923,0.305
669952,0.259
622251,0.345
475479,0.207
680694,0.233
672282,0.204
665795,0.167
621076,0.228
621107,0.155
458681,0.232
623451,0.182
502171,0.298
608328,0.264
665152,0.291
554430,0.259
656529,0.13
669060,0.245
598287,0.296
641712,0.224
605540,0.231
656730,0.245
676710,0.26
666374,0.208
621121,0.116
675916,0.213
607259,0.208
