player_id,si_ba
664285,0.293
640455,0.239
571578,0.309
615698,0.292
663903,0.255
527048,0.249
641540,0.298
502171,0.273
664141,0.283
624133,0.22
605200,0.268
656756,0.248
573186,0.226
605288,0.298
605135,0.26
645261,0.265
657277,0.327
570632,0.313
641712,0.318
641771,0.367
607200,0.309
622072,0.261
502043,0.306
425794,0.255
666201,0.225
669920,0.344
571945,0.211
621244,0.317
640448,0.217
605280,0.199
592789,0.235
657140,0.236
608566,0.328
446372,0.28
543243,0.211
605400,0.178
608344,0.278
669060,0.306
676477,0.245
456501,0.294
621112,0.265
663855,0.259
622491,0.277
607536,0.319
656605,0.303
622253,0.214
671345,0.297
641835,0.233
592662,0.299
543475,0.317
605347,0.228
623352,0.241
472610,0.329
592716,0.294
593423,0.303
657248,0.185
518876,0.254
676879,0.278
661309,0.338
605540,0.269
605507,0.32
541640,0.32
596001,0.315
670174,0.344
571901,0.279
642528,0.289
641745,0.37
621107,0.289
554430,0.236
647315,0.282
592767,0.263
571948,0.276
656234,0.233
592717,0.364
572971,0.308
669373,0.229
667463,0.327
621237,0.277
542947,0.33
543294,0.283
657612,0.308
642397,0.237
608665,0.313
453268,0.188
693821,0.232
666157,0.29
573124,0.306
668933,0.313
650911,0.247
608331,0.269
650644,0.266
500779,0.355
663765,0.284
621016,0.318
678394,0.402
519008,0.352
663559,0.269
605177,0.319
547179,0.239
593958,0.188
676596,0.34
664875,0.337
542888,0.322
621389,0.264
642701,0.354
656061,0.259
489334,0.267
656638,0.257
544727,0.4
570257,0.263
664123,0.333
660813,0.188
670990,0.221
542914,0.215
666200,0.22
518553,0.275
669923,0.266
641302,0.32
592791,0.268
666129,0.278
571670,0.275
663372,0.284
644364,0.333
468504,0.39
663776,0.227
573009,0.3
608379,0.212
571927,0.303
669270,0.352
669912,0.347
592836,0.338
450203,0.292
666168,0.233
657044,0.273
594580,0.269
643256,0.356
640444,0.294
493603,0.222
593974,0.225
445926,0.434
656557,0.288
605182,0.136
641154,0.224
621249,0.277
595881,0.358
506433,0.169
642152,0.4
665001,0.231
471911,0.391
458681,0.37
607625,0.343
594311,0.273
666808,0.242
628708,0.271
607259,0.197
622554,0.206
670167,0.217
606160,0.25
570666,0.313
607481,0.339
676092,0.373
664092,0.267
605397,0.313
623474,0.397
621368,0.35
571800,0.206
650633,0.258
663546,0.362
641501,0.321
656685,0.286
593576,0.25
600921,0.164
606303,0.317
445276,0.237
660787,0.185
528748,0.345
621366,0.245
657649,0.304
656529,0.127
642546,0.3
623451,0.283
650895,0.273
501925,0.333
641726,0.278
643410,0.196
667297,0.383
523260,0.25
542881,0.283
670059,0.289
606131,0.286
682051,0.229
434671,0.265
641627,0.275
456034,0.269
592473,0.304
621248,0.205
657376,0.311
680704,0.214
605164,0.286
665665,0.265
657006,0.313
665871,0.171
596071,0.179
669203,0.25
663385,0.333
660761,0.17
518617,0.341
642545,0.106
548389,0.229
